,Distribute,Modify,Commercial Use,Hold Liable,Include Copyright,Include License,Sublicense,Use Trademark,Private Use,Disclose Source,State Changes,Place Warranty,Include Notice,Include Original,Give Credit,Use Patent Claims,Rename,Relicense,Contact Author,Include Install Instructions,Compensate for Damages,Statically Link,Pay Above Use Threshold
Apache-2.0,1,1,1,2,3,3,1,2,1,0,3,1,3,0,0,1,0,0,0,0,0,0,0
MIT-license,1,1,1,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-PL,1,1,1,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPL-2.0-only,1,1,1,2,3,3,2,0,0,3,3,1,0,3,0,0,0,0,0,0,0,0,0
GPL-3.0-only,1,1,1,2,3,3,2,0,0,3,3,1,0,3,0,1,0,0,0,3,0,0,0
MPL-2.0,1,1,1,2,3,3,1,2,0,3,0,1,0,3,0,1,0,0,0,0,0,0,0
LGPL-2.1-only,1,1,1,2,3,3,2,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0
BSD-2-Clause,1,1,1,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BSD-3-Clause,1,1,1,2,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zlib,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CDDL-1.0,1,1,1,2,3,3,1,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
CC-BY-3.0,1,1,1,2,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CC-BY-NC-4.0,1,1,2,2,3,0,2,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0
AFL,1,1,1,2,3,0,1,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
Artistic-2.0,1,1,1,2,0,0,1,2,1,0,3,0,0,3,0,0,3,0,0,3,0,0,0
PHP-3.0,1,1,1,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPL-2.0,1,1,1,1,0,3,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
EPL-1.0,1,1,1,2,3,3,1,2,1,3,0,0,0,3,0,1,0,0,0,3,3,0,0
IPL,1,1,1,2,0,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
APSL,1,1,1,2,3,3,1,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0
NCSA,1,1,1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISC-license,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms-RL,1,1,1,2,3,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PSF-2.0,1,1,1,2,3,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
AGPL-3.0-only,1,1,1,2,3,3,2,0,0,3,3,1,0,0,0,0,0,0,0,3,0,0,0
OFL-1.1,1,1,1,0,0,3,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CPOL,1,1,1,2,0,0,2,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0
ODbL-1.0,1,1,1,2,0,3,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
X11,1,1,1,2,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JSON,1,1,1,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LLGPL,1,1,1,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
CPAL-1.0,1,1,1,2,3,3,1,2,0,3,3,1,3,0,0,1,0,0,0,0,0,0,0
Aladdin,1,1,2,2,0,3,2,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0
Frameworx-1.0,1,1,1,2,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
FTL,1,1,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qhull,1,1,0,2,3,0,0,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0
EUPL-1.1,1,0,1,2,3,3,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Unlicense,0,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECL-2.0,1,1,1,2,3,3,1,2,1,0,3,1,3,0,0,0,0,0,0,0,0,0,0
UFL-1.0,1,1,0,0,3,3,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OSL-3.0,1,1,1,2,3,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-1.0,1,1,1,2,0,3,0,2,1,3,3,1,3,0,3,0,0,0,0,0,0,0,0
AAL,1,1,1,2,0,3,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0 
CPL-1.0,1,1,1,2,3,3,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
EFL-2.0,1,1,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPND-license,1,1,1,2,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Intel,1,1,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPL-1.02,1,1,1,2,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
MirOS,1,1,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDDL-1.0,1,1,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
OpenSSL,1,1,1,2,3,3,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
PostgreSQL,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QPL-1.0,1,1,2,2,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruby,1,1,1,2,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MPL-1.1,1,1,1,2,3,3,1,2,0,3,3,1,3,0,3,1,0,0,0,0,0,0,0
VSL-1.0,1,1,1,2,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W3C,1,1,1,2,3,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
WXwindows license,1,1,1,2,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
YPL-1.1,1,1,1,2,3,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ZPL-2.1,1,1,1,2,3,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
SPL-1.0,1,1,1,2,3,3,1,2,0,3,3,1,3,0,3,0,0,0,0,0,0,0,0
OPL-1.0,1,1,1,2,3,3,1,2,1,3,3,1,3,0,3,0,0,0,0,0,0,0,0
RPSL-1.0,1,1,1,2,3,3,1,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0
RPL-1.5,1,1,1,2,3,3,1,2,0,3,3,1,3,0,3,0,3,0,0,0,0,0,0
COIL-1.0,1,1,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apache-1.1,1,1,1,2,3,3,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Apache-1.0,1,1,1,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CECILL-1.0,1,1,1,1,3,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0
CECILL-1.1,1,1,1,1,3,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0
CECILL-2.0,1,1,1,1,3,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0
AML,1,1,1,2,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZPL-1.1,1,1,1,2,3,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ZPL-2.0,1,1,1,2,3,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
MPL-1.0,1,1,1,2,3,3,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0
OSL-1.0,1,1,1,2,3,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OSL-1.1,1,1,1,2,3,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OSL-2.0,1,1,1,2,3,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OSL-2.1,1,1,1,2,3,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BSD-4-Clause,1,1,1,2,3,3,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
UPL-1.0,1,1,1,2,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cube,1,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0
curl,1,1,1,2,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOC,1,1,1,2,3,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BSD-1-Clause,1,1,1,2,3,3,1,0,1,0,0,2,3,0,0,0,0,1,0,0,2,0,0
BSD-3-Clause-LBNL,1,1,1,2,3,3,1,2,1,0,0,2,3,0,0,0,0,1,0,0,2,0,0
EPL-2.0,1,1,1,2,3,3,1,0,1,3,0,2,3,0,3,1,0,1,0,0,2,0,0
CERN-OHL-S-2.0,1,1,1,2,3,3,0,2,1,3,3,2,3,0,3,1,0,1,0,0,2,0,0
UCL-1.0,1,1,1,2,3,3,1,2,1,3,0,2,3,0,3,1,0,1,0,0,2,0,0
BSD-2-Clause-Patent,1,1,1,2,3,3,0,0,1,0,0,2,3,0,0,1,0,0,0,0,2,0,0
LiLiQ-Rplus-1.1,1,1,1,2,3,3,1,1,1,3,0,2,3,0,0,1,0,1,0,0,2,0,0
LiLiQ-R-1.1,1,1,1,2,3,3,1,1,1,3,3,2,3,0,3,0,0,1,0,0,2,0,0
LiLiQ-P-1.1,1,1,1,2,3,3,1,2,1,3,3,2,3,0,3,0,3,1,0,0,2,0,0
OSET-PL-2.1,1,1,1,2,3,3,1,0,1,3,0,2,3,0,0,1,0,1,0,0,2,0,0
eCos-2.0,1,1,1,2,3,3,0,0,1,3,0,2,3,0,0,0,0,1,0,0,2,0,0
0BSD,1,1,1,2,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
UPL-1.0,1,1,1,2,3,3,1,0,1,0,0,2,3,0,0,1,0,1,0,0,2,0,0
Jam,1,1,1,2,3,0,0,0,1,0,3,2,3,0,0,0,0,0,0,0,2,0,0
Artistic-1.0-Perl,1,1,1,2,3,3,1,2,1,3,3,2,3,3,0,0,0,0,0,0,2,0,0
MPL-2.0,1,1,1,2,3,3,1,0,1,3,0,2,3,0,0,1,0,1,0,0,2,0,0
EUPL-1.2,1,1,1,2,3,3,1,2,1,3,3,2,3,0,3,1,0,1,0,0,2,0,0
LPPL-1.3c,1,2,1,2,3,3,1,0,1,3,3,2,3,3,3,1,0,1,0,0,2,0,0
License_37,1,1,1,2,3,3,2,0,1,3,3,2,3,0,3,0,0,1,0,0,2,0,0
PostgreSQL,1,1,1,2,3,3,0,0,1,0,0,2,3,0,0,0,0,0,0,0,2,0,0
IPA,1,1,1,2,0,3,0,0,1,0,0,2,3,3,0,0,3,1,0,0,2,0,0
OFL-1.1,1,1,1,2,3,3,1,0,1,0,0,2,3,0,3,0,3,2,0,0,2,1,0
MirOS,1,1,1,2,3,3,1,0,1,0,0,2,3,0,0,0,0,1,0,0,2,0,0
NPOSL-3.0,1,1,1,2,3,3,1,2,1,3,0,2,3,0,3,1,0,1,0,0,2,0,0
NTP,1,1,1,2,3,3,0,2,1,0,0,2,3,0,0,0,0,0,0,0,2,0,0
ICU,1,1,1,2,3,3,1,2,1,0,0,2,3,0,0,0,0,1,0,0,2,0,0
ISC,1,1,1,2,3,3,0,0,1,0,0,2,3,0,0,0,0,0,0,0,2,0,0
Adobe-Display-PostScript,1,1,1,2,3,3,1,2,1,0,0,2,3,0,0,0,0,0,0,0,2,0,0
BSL-1.0,1,1,1,2,3,3,1,0,1,0,0,2,3,0,0,0,0,0,0,0,2,1,0
Multics,1,1,1,0,3,3,0,2,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0
OSL-2.1,1,1,1,2,3,3,1,2,1,3,0,2,3,0,3,1,0,1,0,0,2,0,0
SimPL-2.0,1,1,1,2,3,3,1,0,1,3,3,2,3,0,0,0,0,1,0,0,2,0,0
LGPL-3.0-only,1,1,1,2,3,3,1,0,1,3,0,2,3,0,0,1,0,1,0,3,2,1,0
SISSL,1,1,1,2,3,3,1,0,1,3,0,2,3,0,3,1,0,1,0,0,2,0,0
MS-RL,1,1,1,2,3,3,1,2,1,3,0,2,3,0,3,1,0,1,0,0,0,0,0
Adobe-2006,1,1,1,3,0,0,0,2,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0
Unicode-DFS-2015,1,1,1,2,3,3,1,0,1,0,0,2,3,0,0,0,0,1,0,0,2,0,0